Romence Kelime,Kelime Türü,İngilizce Anlamı,Türkçe Anlamı,Örnek Cümle
alcătui,fiil,"form, make up","oluşturmak, kurmak",Vlad alcătuiește propoziții corecte.
alee,isim,"alley, lane",ara sokak,Aleile din parc sunt curate.
alege,fiil,choose,seçmek,Tinerii au ales Grecia ca destinație turistică.
alegere,isim,"choice, elections",seçim,Am făcut o alegere bună.
alerga,fiil,run,koşmak,Alerg 2 km în fiecare zi.
alfabet,isim,alphabet,alfabe,Nu știe alfabetul grecesc.
aliment,isim,food,"besin, gıda",Mănânc alimente sănătoase.
alifie,isim,ointment,merhem,Bunica a cumpărat o alifie pentru articulații.
alimentară,isim,grocery store,"gıda mağazası, market",Am cumpărat ulei de la alimentară.
alo,ünlem,hello,Alo!,Alo! Familia Georgescu?
alpinist,isim,climber,dağcı,Alpinistul a cucerit vârful Everest.
alt(ă),sıfat,(an)other,başka,A cumpărat altă bluză.
"altul, alta",zamir,(an)other,başka,"Nu vreau acești pantofi, vreau alții."
altceva,zamir,something else,başka,Mai doriți altceva?
altcineva,zamir,someone else,bir başkası,În locul Mariei a venit altcineva.
aluat,isim,dough,hamur,Mama pregătește aluatul pentru pâine.
alună,isim,hazelnut,fındık,Prefer ciocolata cu alune.
aluneca,fiil,"slip, slide",kaymak,Sania alunecă pe gheață.
amabil(ă),sıfat,kind,"nazik, sıcak",Profesoara este amabilă cu studenții.
amar(ă),sıfat,bitter,acı,Beau o cafea amară.
"amândoi, amândouă",sayı,both,ikisi,Au plecat amândoi în concediu.
ambala,fiil,wrap,paketlemek,Maria ambalează cadoul pentru mama.
ambasadă,isim,embassy,elçilik,Ambasada Americii este în București.
ambasador,isim,ambassador,elçi,Ambasadorul Chinei este un domn tânăr.
"ambițios, ambițioasă",sıfat,ambitious,hırslı,Sora mea este o fată ambițioasă.
ambulanță,isim,ambulance,ambulans,Am chemat ambulanța că nu mă simt bine.
amenaja,fiil,set up,düzenlemek,Părinții amenajează camera copilului.
amendă,isim,fine,ceza,"Pentru că nu am avut bilet, am plătit amendă."
amesteca,fiil,mix,karıştırmak,Amestec lapte cu cacao.
amețit(ă),sıfat,dizzy,sersem,Mă simt puțin amețit.
amiază,zarf,noon,"öğle, öğlen",La amiază dormim.
amic,isim,pal,arkadaş,Am mulți amici în România.
amigdalită,isim,tonsilitis,"anjin, boğak",De la înghețată poți face amigdalită.
aminti (a-și),fiil,"remember, remind","hatırlamak, hatırlatmak",Profesorul le amintește studenților data examenului.
amintire,isim,memory,hatıra,Am amintiri frumoase din Maroc.
amuzant(ă),sıfat,funny,"komik, eğlenceli",Filmul a fost amuzant.
an,isim,year,"yıl, sene",În acest an merg la munte.
analiza,fiil,analyse,incelemek,Am analizat un text literar.
analiză,isim,"analysis, test","analiz, tahlil",A primit rezultatul analizelor medicale.
ananas,isim,pineapple,ananas,Ananasul este dulce.
angaja (se),fiil,employ,"işe girmek, söz vermek",El s-a angajat la un restaurant.
animal,isim,animal,hayvan,Are un animal de companie.
animat(ă),sıfat,"animated, lively","hareketli, animasyon",Centrul orașului este un loc animat.
animator,isim,entertainer,animatör,Animatorii sunt persoane tinere.
aniversa,fiil,celebrate,kutlamak,Aniversez 10 ani de la căsătorie.
aniversare,isim,"anniversary, birthday",yıl dönümü,Aniversarea Mariei este pe 5 august.
anonim(ă),sıfat,anonymous,"isimsiz, anonim",Am primit o scrisoare anonimă.
anotimp,isim,season,mevsim,Anotimpul meu preferat este vara.
"anterior, anterioară",sıfat,"prior, previous",önceki,În anul anterior a fost pandemie.
antibiotic,isim,antibiotic,antibiyotik,Ampicilina este un antibiotic slab.
antic(ă),sıfat,ancient,antik,Am vizitat un oraș antic.
antipatic(ă),sıfat,disagreeable,"antipatik, sevimsiz",Colegul meu este o persoană antipatică.
antrena (se),fiil,train,"eğitmek, antrenman yapmak",Hagi antrenează o echipă de fotbal.
antrenament,isim,training session,antrenman,Mergem la antrenament dimineața.
antrenor,isim,coach,antrenör,Echipa de hanbal are un antrenor bătrân.
anual,zarf,"annually, yearly",yıllık,"Merg la bunici, anual."
anula,fiil,cancel,iptal etmek,Arbitrii au anulat meciul.
anunț,isim,"ad(vert), notice",ilan,În ziar sunt anunțuri diverse.
anunța,fiil,announce,"duyurmak, açıklamak",Profesorul anunță tema pentru acasă.
aparat,isim,"machine, gadget",cihaz,A cumpărat un aparat de fotografiat.
apartament,isim,flat,daire,George are un apartament cu vedere la mare.
aparține,fiil,belong,"ait olmak, mensup olmak",Limba română aparține familiei de limbi romanice.
apă,isim,water,su,Beau apă rece.
apăra (se),fiil,"defend, protect",korumak,Câinele apără curtea. Umbrela mă apără de ploaie.
apărea,fiil,appear,"görünmek, ortaya çıkmak",După ploaie a apărut soarele.
apăsa,fiil,"press, push",bastırmak,Apăs butonul pentru a porni calculatorul.
apela,fiil,"call, appeal to, resort to","aramak, başvurmak",Am apelat la un medic specialist.
aperitiv,isim,starter,aperitif,Aperitivul a fost delicios.
aplauda,fiil,"clap, applaud",alkışlamak,"La finalul piesei, spectatorii au aplaudat."
aplica,fiil,"apply, put on",uygulamak,După plajă am aplicat o cremă.
apoi,zarf,then,sonra,A mâncat și apoi s-a culcat.
aprecia,fiil,appreciate,"değer vermek, takdir etmek",Apreciez efortul tău.
aprilie,isim,April,Nisan,Aprilie este o lună de primăvară.
aprinde,fiil,"turn on, light","yakmak, tutuşturmak, açmak",El aprinde lumina în cameră.
aproape,zarf,"near(by), close by",yakın,El locuiește aproape.
aproba,fiil,approve,"onaylamak, kabul etmek",Decanul aprobă cererea pentru examen.
apropia,fiil,"approach, get near",yaklaşmak,Apropie scaunul de masă!
apropiere,zarf,proximity,"yakında, yakınlarda",Spitalul este în apropiere.
aproximativ,zarf,approximately,"yaklaşık, aşağı yukarı",O vacanță la Paris costă aproximativ 1000 de euro.
apt(ă),sıfat,"able, fit",uygun,Este apt pentru muncă.
apuca,fiil,"grab, start",tutmak,Am apucat copilul de mână.
apune,fiil,set,batmak,Soarele apune târziu vara.
apus,isim,sunset,gün batımı,Am admirat apusul.
aragaz,isim,"cooker, stove",ocak,Am cumpărat un aragaz electric.
aranja (se) (a-și),fiil,"arrange, set(tle), tidy up, prepare","düzenlemek, ayarlamak",Am aranjat cărțile în dulap.
arăta,fiil,"show, look","göstermek, belirtmek",Profesorul de geografie arată munții pe hartă.
arbitru,isim,referee,hakem,Arbitrul a fost corect cu cele două echipe.
arbore,isim,tree,ağaç,Arborii din parc sunt foarte bătrâni.
arc,isim,"bow, spring, arch",yay,Trage cu arcul la țintă.
arde,fiil,burn,yanmak,Focul arde de 2 ore.
ardei,isim,pepper,biber,La cină mâncăm ardei umpluți cu orez.
argint,isim,silver,gümüş,Bijuteriile de argint sunt frumoase.
"argintiu, argintie",sıfat,silver(y),gümüş renkli,A cumpărat un pulover argintiu.
arhitect,isim,architect,mimar,Este un arhitect cunoscut.
arhitectură,isim,architecture,mimarlık,Arhitectura orașului este modernă.
aripă,isim,wing,kanat,Găina dă din aripi.
armată,isim,"army, military service","ordu, askerlik",Radu face armata la București.
armă,isim,"weapon, arm, gun",silah,Polițiștii poartă armă mereu.
armonie,isim,"harmony, tune",uyum,Etniile din Constanța trăiesc în armonie.
"armonios, armonioasă",sıfat,harmonious,uyumlu,Balerina are un corp armonios.
arogant(ă),sıfat,arrogant,kibirli,El este un tânăr arogant.
aromat(ă),sıfat,"flavourful, flavoured","hoş kokulu, aromalı",Am cumpărat un pachet de cafea aromată.
aromă,isim,"flavour, smell","koku, aroma",Parfumul are aromă de migdale.
artă,isim,art,sanat,Mâine vizităm muzeul de artă din acest oraș.
articol,isim,article,makale,Am citit un articol interesant.
artificial(ă),sıfat,artificial,yapay,În vază am pus niște flori artificiale.
artist,isim,artist,sanatçı,La expoziție au participat mulți artiști plastici.
arunca (se),fiil,throw,"atmak, fırlatmak, atlamak",Mama aruncă gunoiul.
asculta,fiil,listen,dinlemek,Noi ascultăm muzică rock.
"ascultător, ascultătoare",sıfat,obedient,uslu,Copiii noștri sunt ascultători și cuminți.
ascultător,isim,listener,dinleyici,Emisiunea aceasta are mulți ascultători.
ascunde,fiil,hide,saklamak,Câinele a ascuns osul.
ascuns(ă),sıfat,hidden,saklı,Am găsit bomboanele ascunse de mama.
ascuți,fiil,sharpen,"bilemek, keskinleştirmek",Copilul ascute creioanele.
ascuțit(ă),sıfat,sharp,keskin,A tăiat legumele cu un cuțit ascuțit.
ascuțitoare,isim,sharpener,kalemtıraş,Nu are ascuțitoare în ghiozdan.
aseară,zarf,last night,dün,Aseară am ieșit cu prietenii la restaurant.
asemenea,zarf,"such, same, also","böyle, aynı, gibi, ...de",Asemenea locuri frumoase găsești doar în România.
asigurare,isim,insurance,"sigorta, güvence",Pentru a călători ai nevoie de asigurare medicală.
asistent,isim,assistant,asistan,Ea este asistent universitar.
asistentă,isim,nurse,hemşire,"La spital, lucrează multe asistente medicale."
aspect,isim,"aspect, look","görünüş, açı, bakış, yön",Mâncarea aceasta nu are un aspect apetisant.
aspirator,isim,vacuum,elektrik süpürge,Mama dă săptămânal cu aspiratorul.
aspirină,isim,aspirin,aspirin,Pentru febră iau aspirină.
"aspru, aspră",sıfat,"rough, harsh",sert,Muncitorul are mâinile aspre.
astăzi,zarf,today,bugün,Astăzi este o zi frumoasă și însorită.
așa,zarf,"as, like, so","gibi, kadar, şöyle-böyle (ne..ne)",A făcut așa cum a promis.
așadar,zarf,"thus, therefore",neticede,"Așadar, a fost o excursie interesantă."
așeza (se),fiil,"sit (down), lay","düzenlemek, oturmak",Așez farfuriile pe masă.
aștepta,fiil,wait,beklemek,Maria așteaptă trenul.
atac,isim,attack,"saldırı, kalp krizi",Atacurile teroriste trebuie oprite.
ataca,fiil,attack,saldırmak,Câinele a atacat hoțul.
atât/atâta,zarf/sıfat/zamir,"so, that much, so many",bu kadar / o kadar,Nu-mi plac portocalele atât de mult.
atașa (se),fiil,attach,"eklemek, bağlanmak",Am atașat documentul în mailul trimis.
atelier,isim,workshop,atölye,Atelierul de croitorie este închis.
atent(ă),sıfat,"attentive, careful",dikkatli,El este atent la explicații.
atenție,isim,attention,dikkat,"Atenție, drum în lucru!"
ateriza,fiil,land,"inmek, iniş yapmak",Avionul aterizează pe aeroport.
atestat,isim,certificate,"sertifika, tasdik",Ei au primit atestatul de limba română.
atinge,fiil,touch,dokunmak,La muzeu nu atingem exponatele.
atitudine,isim,attitude,davranış,Nu-mi place atitudinea lui.
atlas,isim,atlas,atlas,Studentul cere un atlas geografic.
atmosferă,isim,"atmosphere, air","atmonsfer, hava",Atmosfera din club este plăcută.
atractiv(ă),sıfat,attractive,"cazip, çekici",Am primit o ofertă atractivă pentru Turcia.
atracție,isim,attraction,ilgi çekici,Pe litoral sunt multe atracții turistice.
atrage,fiil,attract,çekmek,Cercetătorul a atras sponsorizări pentru proiect.
atunci,zarf,then,o zaman,"Când a ajuns la Constanța, atunci a văzut marea."
ață,isim,"thread, floss",ip,Cos bluza cu ață roșie.
august,isim,August,Ağustos,În august plecăm în concediu.
aur,isim,gold,altın,Inelul de logodnă este din aur.
"auriu, aurie",sıfat,golden,altın sarısı,Sandalele sunt aurii.
autentic(ă),sıfat,"authentic, genuine","hakiki, otatik",Am cumpărat o cămașă românească autentică.
autobuz,isim,bus,otobüs,Mergem la gară cu autobuzul 100.
autocar,isim,coach,otobüs,Copiii pleacă în excursie cu autocarul.
autor,isim,author,yazar,Am primit o carte cu semnătura autorului.
autoservire,isim,self-service,açık büfe,Acest restaurant este cu autoservire.
autostradă,isim,motorway,otoban,Vine la Constanța pe autostradă.
auzi,fiil,hear,duymak,Bunica nu mai aude bine.
avansa,fiil,"advance, progress",ilerlemek,El a avansat rapid în ultimii ani.
avansat(ă),sıfat,advanced,ileri düzeyde,"După anul pregătitor, a ajuns la un nivel avansat de limbă română."
avantaj,isim,advantage,avantaj,Este un avantaj să știi limba română.
avea,fiil,have,sahip olmak,Ei au mulți prieteni.
aventură,isim,adventure,macera,Bunicul îi povestește nepotului aventurile din tinerețe.
avion,isim,plane,uçak,Până la Paris zburăm cu avionul.
avocat,isim,lawyer,avukat,Avocatul merge la Tribunal.
azi,zarf,today,bugün,Azi este timp frumos.
ba... ba... / ba da,zarf,"either... or, but, actually","bir ...bir, ya...ya, ama, fakat, aksine","Pe Marian îl găsești ba la munte, ba la mare, niciodată acasă."
bacalaureat,isim,baccalaureate,bakalorya,Ieri am dat examenul de bacalaureat.
bacșiș,isim,tip,bahşiş,A lăsat 10 lei bacșiș pentru chelner.
bagaj,isim,luggage,bagaj,Pregătim bagajul pentru excursie.
baie,isim,bathroom,banyo,Baia este curată.
balcon,isim,balcony,balkon,Casa are un balcon mare.
balsam,isim,"conditioner, balm","balsam, saç kremi",Balsamul este pentru păr normal.
ban,isim,money,para,Banii nu aduc fericirea.
banal(ă),sıfat,"ordinary, common(place)",sıradan,Acesta este un fapt banal.
banană,isim,banana,muz,Maimuța mănâncă banane.
bancă,isim,"bank, bench, desk","banka, bank, sıra",Depunem banii la bancă.
bar,isim,bar,bar,Beau un cocktail la bar.
barbă,isim,beard,sakal,Bărbatul are o barbă îngrijită.
barcă,isim,boat,kayık,Mergem la plimbare cu barca pe lac.
baschet,isim,basketball,basketbol,Băieții joacă baschet în curtea școlii.
bate,fiil,"knock, beat, defeat","kapıyı çalmak, yenmek, çırpmak",Cineva bate la ușă.
baterie,isim,battery,pil,Nu mai are baterie la telefon.
batistă,isim,"tissue, handkerchief",mendii,Are mereu o batistă în buzunar.
baza (se),fiil,rely,"güvenmek, dayanmak",Se bazează pe el pentru rezolvarea problemei.
bazin,isim,pool,havuz,Bazinul de înot este deschis tot anul.
băga,fiil,"insert, stick, put",sokmak,Bagă banii în portofel.
băiat,isim,boy,"oğlan, oğul",Băieții joacă fotbal pe teren.
bărbat,isim,man,erkek,La masa aceea stau un bărbat și o femeie.
bărbie,isim,chin,çene,S-a lovit la bărbie.
bărbieri (se),fiil,shave,tıraş olmak,Se bărbierește în fiecare dimineață.
bătrân(ă),sıfat,old,"yaşlı, ihtiyar",Bunicul este bătrân.
băutură,isim,drink,içki,Iarna bem băuturi calde.
bea,fiil,drink,içmek,Beau o cafea amară.
bec,isim,lightbulb,ampül,Becul are 100 de W.
bej,sıfat,beige,bej,Am o rochie bej.
bere,isim,beer,bira,Vreau o bere foarte rece.
bibliotecar,isim,librarian,kütüphaneci,Bibliotecarul aduce cărțile cerute.
bibliotecă,isim,"library, bookcase",kütüphaneci,Biblioteca școlii este mare.
bicicletă,isim,bicycle,bisiklet,Are o bicicletă nouă.
bijuterie,isim,jewel(lery),mücevher,Bijuteriile din argint sunt ieftine.
bilet,isim,ticket,bilet,Am cumpărat un bilet de tren.
bine,zarf,well,iyi,Vorbește bine românește.
bineînțeles,zarf,of course,tabi ki,Bineînțeles că mi-a plăcut în vacanță.
birou,isim,"office, bureau, study, desk","büro, ofis",Copilul face lecțiile la birou.
biscuit,isim,biscuit,"biskuvi, kurabiye",Am cumpărat un pachet de biscuiți.
biserică,isim,church,kilise,"Duminica, lumea merge la biserică."
bleu,sıfat,light blue,açık mavi,Rochia bleu este scurtă.
bleumarin,sıfat,navy blue,koyu mavi,Pantalonii bleumarin se asortează cu cămașa albă.
bloc,isim,block of flats,apartman,Blocul are 10 etaje.
blond(ă),sıfat,blonde,sarışın,Elena este o fată blondă.
bluză,isim,blouse,blüz,Bluza de mătase este elegantă.
bogat(ă),sıfat,rich,zengin,Sergiu este un om bogat.
bolnav(ă),sıfat,"ill, sick",hasta,"Pentru că este bolnav, azi merge la doctor."
bomboană,isim,sweets,"şeker, bonbon",Îmi plac bomboanele de ciocolată.
bon,isim,receipt,fiş,A primit bonul fiscal.
bonă,isim,nanny,"dadı, bakıcı",Bona copilului nostru este tânără.
borcan,isim,jar,kavanos,Cumpăr un borcan de gem.
box,isim,boxing,boks,Vedem un meci de box la TV.
brad,isim,fir tree,göknar,Părinții cumpără un brad pentru Crăciun.
braț,isim,arm,kol,Îl doare brațul drept.
brățară,isim,bracelet,bilezik,A primit o brățară de aur.
brânză,isim,cheese,peynir,Mănâncă brânză la micul dejun.
bronza (se),fiil,suntan,"bronzlaşmak, güneşlenmek",Fetele se bronzează pe plajă.
brunet(ă),sıfat,dark-haired,esmer,Este un băiat brunet cu ochi albaștri.
brutar,isim,baker,fırıncı,Brutarul face pâine.
bucată,isim,piece,parça,Am cumpărat o bucată de carne.
bucătar,isim,"chef, cook",aşçı,Bucătarul este foarte bun.
bucătărie,isim,kitchen,mutfak,Gătim cu drag în bucătăria noastră.
buchet,isim,"bunch, bouquet","buke, demet",Cumpăr un buchet de flori pentru prietena mea.
bucura (se),fiil,be glad,sevinmek,Ne bucurăm mereu când veniți la noi.
bucurie,isim,joy,sevinç,Vacanța de vară este o mare bucurie pentru copii.
"bucuros, bucuroasă",sıfat,glad,sevinçli,Copilul este bucuros că este în vacanță.
buletin,isim,ID card,kimlik,Are nevoie de buletin pentru intrarea în ambasadă.
bulevard,isim,boulevard,"cadde, bulvar",Sunt multe mașini pe bulevard.
bulion,isim,tomato paste,domates salçası,Pune bulion în mâncare.
bumbac,isim,cotton,pamuk,Cămașa este din bumbac.
bun(ă),sıfat,good,iyi,Am avut vreme bună pentru plajă.
bunic,isim,grandfather,dede,Bunicul meu merge cu bicicleta.
bunică,isim,grandmother,nine,Eu semăn cu bunica mea.
burete,isim,sponge,silgi,Ștergem tabla cu buretele.
bursă,isim,scholarship,burs,Studenții foarte buni obțin burse de studii.
burtă,isim,belly,karın,Stă pe burtă și citește.
buză,isim,lip,dudak,Are buze frumoase.
buzunar,isim,pocket,cep,Are o haină cu buzunare mari.
ca,zarf,"as, like",gibi,Are o bluză galbenă ca lămâia.
cabană,isim,cabin,dağ evi,Are o cabană la munte.
cabinet,isim,surgery,çalışma odası,Lucrează într-un cabinet medical.
cadă,isim,bathtub,küvet,În baie are o cadă mare.
cadou,isim,"present, gift",hediye,Azi am primit multe cadouri.
cafea,isim,coffee,kahve,Îmi place cafeaua fără zahăr.
cafenea,isim,"café, coffee shop","cafe, kahvehane",Ne întâlnim cu prietenii la cafenea.
"cafeniu, cafenie",sıfat,brown,kahverengi,Poartă un fular cafeniu.
caiet,isim,notebook,defter,Scrie pe caiet cu creionul.
caisă,isim,apricot,kayısı,Caisele acestea sunt pentru compot.
cal,isim,horse,at,Caii de la fermă sunt îngrijiți.
calcula,fiil,calculate,hesaplamak,Calculez imediat și scriu totalul.
calculator,isim,calculator,bilgisayar,Am nevoie de un calculator.
cald(ă),sıfat,warm,sıcak,Beau un ceai cald cu multă lămâie.
calendar,isim,calandar,takvim,Mă uit în calendar pentru programare.
calificat(ă),sıfat,qualified,"kalifiye, vasıflı",Pentru construcție avem nevoie de muncitori calificați.
calitate,isim,quality,kaliteli,Prăjiturile de aici sunt de calitate.
calm(ă),sıfat,calm,sakin,Profesorul este calm.
calorifer,isim,radiator,kalorifer,Caloriferul este cald.
cam,zarf,around,yaklaşık,Costă cam 200 de lei.
cameră,isim,room,oda,Are un apartament cu 2 camere.
campion,isim,champion,şampiyon,Este campion mondial la înot.
canapea,isim,sofa,kanepe,Canapeaua din living a fost scumpă.
cană,isim,mug,bardak,Vreau o cană cu lapte.
cantină,isim,cafeteria,kantin,Studenții mănâncă la cantină.
cantitate,isim,quantity,miktar,Ce cantitate de ulei folosești?
cap,isim,head,baş,Mă doare capul.
capabil(ă),sıfat,"able, capable",kabiliyetli,Este o persoană capabilă să lucreze bine.
capac,isim,lid,kapak,Am pus capacul pe oală.
capitală,isim,capital,başkent,Capitala României este București.
capitol,isim,chapter,bölüm,Cartea are 8 capitole.
capră,isim,goat,keçi,Mănânc o salată cu brânză de capră.
caracter,isim,"character, personality","karakter, yapı",Are un caracter dificil.
card,isim,card,kart,Plătesc cu cardul.
care,zamir,"which, that",...-an/en,Studentul care învață bine obține note mari.
carieră,isim,career,kariyer,A făcut carieră în domeniul juridic.
carne,isim,meat,et,Nu mănânc carne.
carnet,isim,card,"karne, kart",Carnetul de student este un document important.
carte,isim,book,kitap,A luat cartea de la bibliotecă.
cartier,isim,neighbourhood,"semt, mahalle",Stă într-un cartier nou.
cartof,isim,potato,patates,Vrea o salată de cartofi.
casă,isim,house,ev,Locuiește în casa părinților.
casnic(ă),sıfat,domestic,ev hanımı,Soția lui este casnică.
castel,isim,castle,"şato, köşk",Vizităm castelul mai târziu.
castravete,isim,cucumber,salatalık,Salata de castravaveți este acră.
castron,isim,bowl,kase,Pune supa în castron.
cașcaval,isim,cheese,kaşar,Am o bucată de cașcaval în frigider.
catedră,isim,teacher’s desk,öğretmen masası,Profesoara stă la catedră.
categorie,isim,category,kategori,Lămâia intră în categoria fructelor.
cazare,isim,accommodation,"konaklama, barındırma",A găsit cazare la munte.
că,bağlaç,that,"ki, -dık-/-dığı",Știe că vremea este urâtă.
căci,bağlaç,"as, since, because","çünkü, zira","Nu stă aici, căci nu are prieteni."
căciulă,isim,hat,"şapka, kış şapkası",Iarna poartă căciulă.
cădea,fiil,fall,düşmek,A căzut pe gheață.
călător,isim,traveller,yolcu,Călătorii sunt obosiți.
călători,fiil,travel,seyahat etmek,Călătorim cu autocarul.
călătorie,isim,journey,"seyahat, yolculuk",Faceți o călătorie în străinătate.
călca,fiil,"step, iron",basmak,Calcă pe iarba umedă.
călcâi,isim,heel,topuk,Merge pe călcâie.
căldură,isim,heat(ing),sıcaklık,Nu avem căldură la cămin.
"călduros, călduroasă",sıfat,warm,sıcak,Este o zi călduroasă de vară.
cămară,isim,"pantry, larder",kiler,Cămara este plină cu diferite alimente.
cămașă,isim,shirt,gömlek,Poartă o cămașă albă elegantă.
cămilă,isim,camel,deve,Merge cu cămila în deșert.
cămin,isim,"dormitory, hostel",yurt,Studenții locuiesc la cămin.
căprui,sıfat,hazel,kahverengi gözlü,Ea are ochi căprui.
căpșună,isim,strawberry,çilek,Bea un sirop de căpșuni.
căra,fiil,carry,taşımak,Cară geamantanul pe scări.
căsători (se),fiil,marry,evlenmek,S-au căsătorit vara trecută.
